,location,bath,balcony,price_Transformed,BHK,total_sqft_norm
0,Electronic City Phase II,2.0,1.0,2.1992779621225913,2,1056.0
1,Chikka Tirupathi,5.0,3.0,2.5070501370700384,4,2600.0
3,Lingadheeranahalli,3.0,1.0,2.451415280285468,3,1521.0
5,Whitefield,2.0,1.0,2.1902349571616555,2,1170.0
11,Whitefield,5.0,3.0,2.6875715073581774,4,2785.0
12,7th Phase JP Nagar,2.0,1.0,2.1902349571616555,2,1000.0
14,Sarjapur,3.0,2.0,2.5537043095104663,3,2250.0
15,Mysore Road,2.0,2.0,2.3855261038388527,2,1175.0
16,Bisuvanahalli,3.0,2.0,2.2639599879977412,3,1180.0
17,Raja Rajeshwari Nagar,3.0,3.0,2.3296071907373097,3,1540.0
18,other,4.0,2.0,2.6845851814447186,3,2770.0
21,Binny Pete,3.0,1.0,2.51083734293225,3,1755.0
22,Thanisandra,5.0,2.0,2.730015347348958,4,2800.0
24,Thanisandra,1.0,0.0,2.0477943954460804,1,510.0
26,Electronic City,1.0,1.0,2.0143393589584377,2,660.0
28,Ramagondanahalli,2.0,2.0,2.2687923841292834,2,1151.0
29,Electronic City,2.0,1.0,2.257530704287577,3,1025.0
30,Yelahanka,4.0,0.0,2.601235126549993,4,2475.0
31,Bisuvanahalli,2.0,1.0,2.162996701647244,3,1075.0
32,Hebbal,2.0,2.0,2.5127006434450663,3,1760.0
33,Raja Rajeshwari Nagar,3.0,3.0,2.3168797652350634,3,1693.0
35,Kanakpura Road,2.0,1.0,2.1724048403316476,2,700.0
37,Kundalahalli,3.0,2.0,2.516368512754174,3,1724.0
41,Sarjapur  Road,3.0,2.0,2.1902349571616555,3,1254.0
42,other,1.0,0.0,2.1902349571616555,1,600.0
44,Kanakpura Road,2.0,2.0,2.4428870406268364,2,1330.74
46,Doddathoguru,2.0,0.0,2.1430812771149417,2,970.0
47,Whitefield,2.0,1.0,2.450947084986282,2,1459.0
50,other,2.0,1.0,2.276308317343053,2,1270.0
51,Bhoganhalli,3.0,1.0,2.4615296977482752,3,1670.0
52,Whitefield,3.0,2.0,2.4407282487466375,3,2010.0
53,Lakshminarayana Pura,2.0,2.0,2.390904357255814,2,1185.0
54,Yelahanka,2.0,3.0,2.390904357255814,3,1600.0
55,Begur Road,2.0,2.0,2.2371171131819043,2,1200.0
57,other,2.0,2.0,2.6001519387597782,2,1500.0
61,other,2.0,1.0,2.304543028080613,2,845.0
62,Whitefield,5.0,3.0,2.809786568511275,4,5700.0
63,Varthur,2.0,2.0,2.2371171131819043,2,1160.0
66,Gunjur,2.0,3.0,2.2299042121560673,2,1140.0
71,Begur Road,2.0,1.0,2.4097408795148305,2,1358.0
72,Hegde Nagar,3.0,1.0,2.4663887011222068,3,1569.0
73,Haralur Road,2.0,1.0,2.3723989530691814,2,1240.0
74,Hennur Road,3.0,2.0,2.5416335627291207,3,2089.0
77,other,3.0,3.0,2.620473252872861,3,2511.0
80,other,2.0,2.0,2.4757396611400497,3,1660.0
82,Yelahanka,2.0,2.0,2.4012506422169517,2,1326.0
84,EPIP Zone,5.0,2.0,2.468771283478688,3,1499.0
87,Dasanapura,2.0,2.0,2.1814774036790427,2,708.0
88,Kasavanhalli,2.0,2.0,2.3202181398346786,2,1060.0
90,other,2.0,2.0,2.3723989530691814,2,1000.0
94,Thanisandra,2.0,3.0,2.407863475493781,2,1296.0
96,Kengeri,4.0,1.0,2.6542715826821204,4,2894.0
100,Yeshwanthpur,3.0,3.0,2.53847434004497,3,2502.0
101,Chandapura,1.0,1.0,1.891808793574297,2,650.0
102,Kothanur,2.0,1.0,2.5565892512800237,3,2400.0
103,other,2.0,2.0,2.2299042121560673,2,1007.0
104,other,2.0,2.0,2.276308317343053,2,1200.0
107,Rajaji Nagar,3.0,2.0,2.6416830938878473,3,1640.0
109,Devanahalli,2.0,2.0,2.3595408007330234,2,1260.0
111,other,2.0,2.0,2.390904357255814,3,1413.0
112,Whitefield,2.0,1.0,2.287512654377086,2,1116.0
113,Electronic City,2.0,1.0,2.2502486760592415,3,1530.0
115,Sarjapur  Road,3.0,2.0,2.5416335627291207,3,2497.0
116,Kengeri,2.0,3.0,2.3477698357090975,3,1540.0
120,Thanisandra,3.0,2.0,2.5070501370700384,3,1427.0
121,Akshaya Nagar,3.0,1.0,2.615643512031689,3,2061.0
122,Hebbal,4.0,0.0,2.7654119376275648,4,5611.5
124,Devanahalli,2.0,2.0,2.366587139844711,3,1282.0
126,other,3.0,2.0,2.3520796841242335,3,1600.0
128,Hormavu,2.0,1.0,2.4012506422169517,2,1500.0
130,other,3.0,3.0,2.486793794290263,3,1870.0
131,Sarjapur,3.0,1.0,2.390904357255814,3,1600.0
132,Electronic City,1.0,1.0,1.8792507366099824,2,880.0
134,Kudlu Gate,3.0,2.0,2.4173877085267303,3,1535.0
135,Kanakpura Road,2.0,1.0,2.314912980862613,2,950.0
136,Devanahalli,2.0,1.0,2.3520796841242335,2,1360.0
137,8th Phase JP Nagar,2.0,0.0,2.299198530507383,2,1073.5
139,other,2.0,2.0,2.4236408587024973,3,1260.0
